year,globalterrorism,abbr,femadec,state,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,race2,pres2,ideology2,church2,prayer2,unemploy
2012,8481,MI,0,Michigan,0,L000261,1/3/15,Carl,Levin,Jew,,,1,,,,,0,0,316,14709,1384,300066,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.458,1,0,0,D,NULL,NULL,1,0,0.7811257,2.606716,3.335418,3.931054,3.336758,9.1
2010,4805,MI,0,Michigan,0,L000261,1/3/15,Carl,Levin,Jew,,,1,,,,,0,0,317,14709,1384,300066,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.456,1,0,0,D,NULL,NULL,1,0,0.7938644,2.800864,3.431109,3.796556,3.182992,12.2
2014,16834,MI,3,Michigan,0,L000261,1/3/15,Carl,Levin,Jew,,,1,,,,,0,0,11010,14709,1384,300066,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.458,0,0,0,D,1,NULL,1,0,0.7943485,2.828616,3.398429,4.070304,3.453117,7.2
2006,2743,MI,0,Michigan,0,L000261,1/3/15,Carl,Levin,Jew,,,1,,,,,0,0,314,14709,1384,300066,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.451,0,1,0,D,NULL,NULL,0,1,0.7221861,3.100326,3.257186,2.76767,2.664911,7
2008,4785,CT,0,Connecticut,0,L000304,1/3/13,Joseph,Lieberman,Jew,,,1,,,,,0,0,10352,15704,1385,300067,110,M,sen,1/4/07,1/3/13,0,1,Independent,-0.278,1,0,0,I,NULL,NULL,1,0,0.8813187,3.306167,3.27033,3.923077,3.473094,5.7
2012,8481,CT,16,Connecticut,0,L000304,1/3/13,Joseph,Lieberman,Jew,,,1,,,,,0,0,10351,15704,1385,300067,112,M,sen,1/4/07,1/3/13,0,1,Independent,-0.285,1,0,0,I,NULL,NULL,1,0,0.8022329,2.5664,3.274322,4.248804,3.995215,8.4
2006,2743,CT,5,Connecticut,0,L000304,1/3/13,Joseph,Lieberman,Jew,,,1,,,,,0,0,10350,15704,1385,300067,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.275,0,1,0,D,NULL,NULL,0,1,0.8486487,3.121951,3.122222,3.087912,3.229508,4.3
2010,4805,CT,5,Connecticut,0,L000304,1/3/13,Joseph,Lieberman,Jew,,,1,,,,,0,0,10353,15704,1385,300067,111,M,sen,1/4/07,1/3/13,0,1,Independent,-0.282,1,0,0,I,NULL,NULL,1,0,0.8152031,2.740157,3.290957,3.916121,3.44357,9.2
2006,2743,AR,7,Arkansas,0,L000035,1/3/11,Blanche,Lincoln,Episcopalian,,,,,,1,,0,0,8939,29305,1570,300068,109,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.203,0,0,0,D,NULL,NULL,0,0,0.8764045,2.977528,3.514793,2.622857,2.487252,5.3
2010,4805,AR,25,Arkansas,0,L000035,1/3/11,Blanche,Lincoln,Episcopalian,,,,,,1,,0,0,8941,29305,1570,300068,111,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.163,1,0,0,D,NULL,NULL,1,0,0.8020202,3.147475,3.779798,3.280808,2.490909,8.6
