bioguide,state,end_last_term,first,last,AA,Hisp
F000460,TX,1/3/19,Blake,Farenthold,,
F000030,CA,1/3/17,Sam,Farr,,
F000464,NY,1/3/19,John,Faso,,
F000043,PA,6/23/16,Chaka,Fattah,1,
F000049,IL,1/3/99,Harris,Fawell,,
F000053,CA,1/3/99,Victor,Fazio,,
F000447,FL,1/3/09,Tom,Feeney,,
F000061,WI,1/3/11,Russell,Feingold,,
F000062,CA,1/3/19,Dianne,Feinstein,,
F000443,NJ,1/3/09,Michael,Ferguson,,
F000465,GA,1/3/19,A.,Ferguson,,
F000110,LA,1/3/97,Cleo,Fields,1,
F000111,TX,1/3/97,Jack,Fields,,
F000116,CA,12/3/12,Bob,Filner,,
F000458,TN,1/3/17,Stephen,Fincher,,
F000128,OH,1/3/95,Eric,Fingerhut,,
F000463,NE,1/3/19,Deb,Fischer,,
F000141,NY,1/3/95,Hamilton,Fish,,
F000442,IL,1/3/05,Peter,Fitzgerald,,
F000451,PA,1/3/17,Michael,Fitzpatrick,,
F000466,PA,1/3/19,Brian,Fitzpatrick,,
F000184,NY,11/17/97,Floyd,Flake,1,
F000444,AZ,1/3/19,Jeff,Flake,,
F000187,IL,1/3/97,Michael,Flanagan,,
F000459,TN,1/3/19,Charles,Fleischmann,,
F000456,LA,1/3/17,John,Fleming,,
F000441,KY,12/8/03,Ernest,Fletcher,,
F000461,TX,1/3/19,Bill,Flores,,1
F000235,PA,11/11/97,Thomas,Foglietta,,
F000239,WA,1/3/95,Thomas,Foley,,
F000238,FL,9/29/06,Mark,Foley,,
F000257,NY,1/3/01,Michael,Forbes,,
F000445,VA,1/3/17,J.,Forbes,,
F000268,KY,1/3/99,Wendell,Ford,,
F000270,MI,1/3/95,William,Ford,,
F000261,TN,1/3/97,Harold,Ford,1,
F000262,TN,1/3/07,Harold,Ford,1,
F000449,NE,1/3/19,Jeff,Fortenberry,,
F000452,PR,1/3/09,Luis,Fortuo,,1
F000440,NY,1/3/09,Vito,Fossella,,
F000454,IL,1/3/19,Bill,Foster,,
F000328,FL,1/3/01,Tillie,Fowler,,
F000332,PA,1/3/99,Jon,Fox,,
F000450,NC,1/3/19,Virginia,Foxx,,
F000438,KS,11/5/96,Sheila,Frahm,,
F000339,MA,1/3/13,Barney,Frank,,
F000462,FL,1/3/19,Lois,Frankel,,
F000457,MN,1/3/21,Alan,Franken,,
F000348,CT,1/3/97,Gary,Franks,1,
F000349,NJ,1/3/01,Bob,Franks,,
F000448,AZ,1/3/19,Trent,Franks,,
F000351,VI,1/3/97,Victor,Frazer,1,
F000372,NJ,1/3/19,Rodney,Frelinghuysen,,
F000387,NY,1/3/97,Dan,Frisa,,
F000439,TN,1/3/07,William,Frist,,
F000392,TX,1/3/05,Jonas,Frost,,
F000455,OH,1/3/19,Marcia,Fudge,1,
F000426,NC,1/3/97,David,Funderburk,,
F000434,OR,1/3/99,Elizabeth,Furse,,
G000571,HI,1/3/19,Tulsi,Gabbard,,
G000578,FL,1/3/19,Matt,Gaetz,,
G000579,WI,1/3/19,Mike,Gallagher,,
G000021,CA,1/3/13,Elton,Gallegly,,
G000572,TX,1/3/15,Pete,Gallego,,1
G000574,AZ,1/3/19,Ruben,Gallego,,1
G000025,NJ,1/3/95,Dean,Gallo,,
G000041,IA,1/3/03,Greg,Ganske,,
G000559,CA,1/3/19,John,Garamendi,,1
G000573,FL,1/3/15,Joe,Garcia,,1
G000562,CO,1/3/21,Cory,Gardner,,
G000548,NJ,1/3/17,Scott,Garrett,,
G000580,VA,1/3/19,Thomas,Garrett,,
G000120,CT,1/3/01,Sam,Gejdenson,,
G000121,PA,1/3/03,George,Gekas,,
G000132,MO,1/3/05,Richard,Gephardt,,
G000134,TX,1/3/97,Preston,Geren,,
G000549,PA,1/3/15,Jim,Gerlach,,
G000153,FL,1/3/97,Sam,Gibbons,,
G000152,NV,1/3/07,James,Gibbons,,
G000563,OH,1/3/19,Bob,Gibbs,,
G000564,NY,1/3/17,Christopher,Gibson,,
G000554,AZ,1/25/12,Gabrielle,Giffords,,
G000180,MD,1/3/09,Wayne,Gilchrest,,
G000555,NY,1/3/19,Kirsten,Gillibrand,,
G000210,OH,9/5/07,Paul,Gillmor,,
G000212,NY,1/3/03,Benjamin,Gilman,,
G000550,GA,1/3/15,Phil,Gingrey,,
G000225,GA,1/3/99,Newton,Gingrich,,
G000236,OH,1/3/99,John,Glenn,,
G000240,KS,1/3/95,Daniel,Glickman,,
G000552,TX,1/3/19,Louie,Gohmert,,
G000544,TX,1/3/13,Charles,Gonzalez,,1
G000581,TX,1/3/19,Vicente,Gonzalez,,1
G000272,TX,1/3/99,Henry,Gonzlez,,1
G000582,PR,1/3/19,Jenniffer,Gonzlez-Coln,,1
